================================================================================
EMMTECH Closed Tickets Containing Code Snippets
Total unique tickets: 1092
Generated from Jira sdsdev site (devops.sdsdev.co.kr)
================================================================================

Search categories used:
  import, function, Exception, patch, dumpstate, adb, logcat,
  NullPointerException, commit, public class, git, diff, stacktrace

--------------------------------------------------------------------------------
Ticket Key           Categories                                         Summary
--------------------------------------------------------------------------------
EMMTECH-87           dumpstate, function                                [00221709] Issues with in-app purchases
EMMTECH-93           function                                           [00223173] How to change EMM provider information
EMMTECH-94           function                                           [00223276] Customer cannot exit Kiosk
EMMTECH-101          dumpstate                                          [00223264] Issues with lock and unlock SIM PIN
EMMTECH-107          function                                           [customer] [00223536] Banned Google Account
EMMTECH-108          dumpstate                                          [00223298] Devices after enrollment and register at KM, does not look the same
EMMTECH-111          function                                           [00219000] Super admin stefan-andrej.bilbija on tenant testing.roche.com can login via SSO but does not have the Invite button
EMMTECH-114          Exception, dumpstate                               [00223424] Kiosk crashes after device update
EMMTECH-116          function                                           [00223886] Configuring the Base VPN profile
EMMTECH-117          dumpstate                                          [00223648] Status bar is hidden (Android P and Q)
EMMTECH-123          Exception, dumpstate, public class                 [00224201] Some public apps are crashing on A125M devices
EMMTECH-131          Exception, dumpstate, function                     [00224322] With Multi App Kiosk Home Button and Recent Button is not avaibale
EMMTECH-132          adb                                                [ETS][00223418] Not possible to remove device from KM
EMMTECH-136          function                                           [00224491] [ETS] EMM/OAUTH/Token endpoint returning identical tokens when that is not expected
EMMTECH-142          dumpstate                                          [00224615] MS Power BI app slow performance with Knox Manage
EMMTECH-146          Exception, dumpstate, function                     [00224841] Bookmark crashes when open the camera app
EMMTECH-151          function                                           [00223040]After factory reset device command Google FRP is triggered
EMMTECH-153          dumpstate, patch                                   [00224792] License expired status with event based kiosk
EMMTECH-157          dumpstate                                          [00225187] New kiosk app is not updating on devices
EMMTECH-159          Exception, dumpstate, function                     [00224748] Internal Application Not Removing from 2 users
EMMTECH-167          NullPointerException                               [00224785] Problem running Optimum app in Samsung Knox Manage
EMMTECH-179          Exception                                          [00225298] Failed to add Managed Google Play Account
EMMTECH-190          Exception                                          [00223554] Onecom // Business West // Integrate LDAP Error code
EMMTECH-212          dumpstate                                          [00225953] Uninstallation Prevention List policy doesn't work with Separated Apps
EMMTECH-213          patch                                              [00224920] SSO is not working for client
EMMTECH-217          Exception, dumpstate                               [00225679] Cannot access External SD in Work Profile
EMMTECH-218          function                                           [00225211] NFC issue in Kiosk
EMMTECH-221          function                                           [00225944] S pen context menu policy doesn't work
EMMTECH-222          dumpstate, function                                [00226035] Failed to collect location
EMMTECH-230          stacktrace                                         [00225871] Sync issue with AD
EMMTECH-236          Exception, function                                [00226389] Kiosk Crashes When Launching Camera via Bookmark
EMMTECH-238          patch                                              [00226417] Re-arrange icons option in Multi app kiosk mode is not working correctly
EMMTECH-240          Exception, function                                [00225938][ETS] KMA ERROR F4015
EMMTECH-244          dumpstate                                          [00226666] KSP connection issue
EMMTECH-245          function                                           [00226564] Application installation(update) in Kiosk mode
EMMTECH-247          import                                             [Grazioli Francesco] [00225246] Api access error
EMMTECH-264          Exception, dumpstate                               [00226869] Multi-app kiosk crashes on AT&T tablets
EMMTECH-265          Exception, dumpstate                               [00226667] Tab A7-Lite Crushing with Knox Manage Kiosk
EMMTECH-266          dumpstate                                          [00226061] System apps on shared device mode
EMMTECH-275          function                                           [00227039] MGPP app is getting updated before corresponding setup in KM
EMMTECH-287          patch                                              [00227157] BUG when adding an MGP app to KM console
EMMTECH-291          Exception, NullPointerException                    [00226981] Enrolled failure and Device delete failure
EMMTECH-293          patch                                              [00226362] AD integration not working
EMMTECH-295          function                                           [00226663] Device Enrollment - Add profile issue
EMMTECH-305          function, patch                                    [FIITJEE Limited] [00227270] Able to access complete device settings
EMMTECH-328          Exception, dumpstate                               [Artesis A.S] [00225491] License Problem
EMMTECH-343          Exception, import                                  [00227260] App permission error on fully managed device
EMMTECH-352          function                                           [00228049]Clarifications on data usage collection
EMMTECH-354          dumpstate, patch                                   [00227956] Time & Date issues
EMMTECH-355          dumpstate, patch                                   [00226849] Cannot see apps in MGP
EMMTECH-370          dumpstate                                          [00228460] "Keyguard" and "Screen On when Plugged into Charger" policies issues
EMMTECH-375          dumpstate                                          [00228484] Issues with Kiosk with Kaspersky app
EMMTECH-400          dumpstate                                          [00228303] MGP issue
EMMTECH-405          dumpstate, patch                                   [00220898] Not possible to update some apps
EMMTECH-408          dumpstate                                          [00226975] Remote support issue 
EMMTECH-413          dumpstate                                          [00229105] Kiosk Mode covers (overwrite) message from the app
EMMTECH-428          import                                             [iOS][00229413] [ETS] FirstGroup | KM | IOS devices never enrolled are appearing in Device list as "Unenrolled"
EMMTECH-430          dumpstate                                          [00229382] applications: Not installed automatically
EMMTECH-440          function                                           [00229375][ETS] App removing Knox Manage Data and log out
EMMTECH-445          dumpstate                                          [00228955] Issues using remote support - RSA-5003 error
EMMTECH-452          Exception, function                                [00229648] location tracking history inaccurate
EMMTECH-453          dumpstate                                          [00229692] Event SIM is not working
EMMTECH-457          Exception, dumpstate                               [00228956] Enrollment issues
EMMTECH-461          dumpstate                                          [00229927][ETS]Enrollment Error: KMA_C1005 Unavailable Device The device is blocked or does not exist.
EMMTECH-467          patch                                              [00228668] Problems with the Remote Support for Knox Manage app 
EMMTECH-468          function                                           [00230079][00230080] Login issues after Azure AD integration
EMMTECH-474          dumpstate, patch                                   [00228214] Kiosk Allowing Access to Restricted Settings
EMMTECH-475          public class                                       [00229588] API "selectUserWithID" returns "500 Internal Server Error" Response Message
EMMTECH-489          dumpstate                                          [00228578] Possibility to disable work profile
EMMTECH-507          dumpstate                                          [00229874] Cant restore device
EMMTECH-510          dumpstate, function                                [ETS] Error KMA_D9001 when install the configration
EMMTECH-511          dumpstate, function                                [00230272] Error when accessing a functionality of a company application in the KM
EMMTECH-531          Exception, NullPointerException, patch             [00228838]Font size setting issue in multiple kiosk mode
EMMTECH-535          patch                                              [00230806] log4j vulnerability Cloud connector
EMMTECH-540          patch                                              [00229920] Convert License command doesn't work
EMMTECH-546          Exception                                          [00229802] AD Sync issue
EMMTECH-549          dumpstate, function                                [00230962]Devices falling off Knox Manage
EMMTECH-553          dumpstate                                          [00229241][ETS] Install or Update App command doesn't work when simultaneously sent to 20 batch users
EMMTECH-563          dumpstate                                          [00230834]External certificate suddenly asking for password and fails to install
EMMTECH-564          patch                                              [00231330] No Android 12 version in the OS version search condition of Limited enrollment   
EMMTECH-567          Exception, NullPointerException, dumpstate         [00231114] Updating apps on disconnected devices
EMMTECH-577          Exception, dumpstate, patch                        [00231424] Breaks lockTaskMode when exiting Outlook
EMMTECH-582          Exception, function                                [00231493] Force Close using "Shared Devices" from KM with KAI
EMMTECH-586          dumpstate                                          [00231675] Status bar hidden , android 11
EMMTECH-587          patch                                              [00231690] User automate sync is not working - Azure LDAP
EMMTECH-591          Exception, function                                [00231508] Client couldn't install internal application on Shared devices phones
EMMTECH-593          function, patch                                    [00231853] LOG4J - questions from the customer
EMMTECH-596          patch                                              [00231820] MGP Account Not Registered
EMMTECH-599          function                                           [iOS][ETS] 00032988 - Issue with iOS Devices enrolling.
EMMTECH-618          dumpstate                                          [00231943] Samsung Knox Manage / Android Enterprise / Installation einer internen App
EMMTECH-619          dumpstate                                          [Suncoast Cabs] [00231712] Issue with MTI Driver app
EMMTECH-624          dumpstate                                          [00232315]Update License on Device not working
EMMTECH-625          dumpstate                                          [00232044] Unable to enroll the device - cannot remove device from the license
EMMTECH-630          import                                             [00232539] [ETS] Policy Password Section are grayed out in one profile yet available in another
EMMTECH-634          Exception, import                                  [00232110] Samsung Knox Certificate Authority Integration
EMMTECH-636          dumpstate                                          [00227659] System update policy doesn't work
EMMTECH-640          Exception, dumpstate                               [00232212] A12 - APN deployment
EMMTECH-643          dumpstate                                          [00232081]No se ve la barra de notificaciones
EMMTECH-647          Exception, dumpstate                               [00231214] Company Created App Crashes in Knox Manage
EMMTECH-648          dumpstate                                          [KM][00232527] KM Firewall rules fail after device reboot
EMMTECH-653          adb, dumpstate                                     [00232753]Smart View on KM Kiosk mode
EMMTECH-654          function                                           [Sydtrafik] [00231839] Multipath TCP - Is it possible?
EMMTECH-660          import, patch                                      [00233064/00241948]user name length on Active directory
EMMTECH-664          function                                           [00231939] Device can leave the kiosk
EMMTECH-665          dumpstate, function                                [PROJEK LEBUHRAYA USAHASAMA BERHAD] [00233077] KPE License Activation Issue in Knox Manage
